ID_TA;cuisines;price;price_min;price_max;price_range;work_hours;time_break;work_day_in_week;latitude;longitude;rank;over_rank;reviews_cnt
d3354304;{'Seafood', 'Vegan Options', 'Vegetarian Friendly', 'Gluten Free Options', 'Spanish'};$$ - $$$;1648.0;3036.0;1388.0;11.571428571428571;0.0;7.0;41.387066;2.174592;724.0;8785.0;847.0
d6873487;{'Vegetarian Friendly', 'Cafe', 'Irish'};$;;;;10.0;0.0;7.0;;;1159.0;2117.0;33.0
d12115145;{'Mediterranean', 'European'};$$ - $$$;694.0;2603.0;1909.0;10.857142857142858;0.0;7.0;41.397144;2.154367;6469.0;8785.0;3.0
d8744807;{'Mediterranean', 'European'};$$ - $$$;;;;;0.0;;48.8681;2.347523;;;47.0
d8658435;{'Vegetarian Friendly', 'Mediterranean', 'Pizza', 'Italian'};$;434.0;2603.0;2169.0;11.142857142857142;0.0;7.0;48.865223;2.284302;5117.0;15768.0;55.0
d2481457;{'Soups', 'Hungarian', 'Eastern European', 'European', 'Vegetarian Friendly', 'Central European'};$$ - $$$;;;;11.0;0.0;7.0;47.45653;19.03006;933.0;2802.0;38.0
d9786426;{'Mediterranean'};$$ - $$$;;;;8.571428571428571;0.0;7.0;46.050575;14.460126;282.0;548.0;11.0
d3206921;{'Vegetarian Friendly', 'Thai', 'Vegan Options'};$$ - $$$;1735.0;3470.0;1735.0;5.428571428571429;0.0;7.0;48.128326;11.59592;312.0;2884.0;294.0
d1754586;{'Balti', 'Vegan Options', 'Indian', 'Asian', 'Vegetarian Friendly', 'Gluten Free Options'};$$ - $$$;1128.0;1538.0;410.0;6.0;0.0;7.0;;;984.0;17339.0;250.0
d8587751;{'Vegetarian Friendly', 'Vegan Options', 'Indian'};$$ - $$$;;;;;0.0;;48.869137;2.290178;;;53.0
d12458176;{'Indian'};$;;;;;0.0;;;;13690.0;17339.0;5.0
d12977288;{'Indian'};;;;;;0.0;;;;;;
d12443430;{'Indian'};;;;;;0.0;;;;;;
d11966513;{'Asian', 'Vegetarian Friendly', 'Japanese', 'Sushi'};$$ - $$$;;;;4.785714285714286;1.0;7.0;;;3963.0;17339.0;38.0
d6524613;{'Mexican', 'Latin', 'Vegetarian Friendly', 'Vegan Options'};$;;;;9.071428571428571;0.0;7.0;;;8230.0;17339.0;57.0
d8007793;{'Vegetarian Friendly', 'Cafe'};$;;;;5.714285714285714;0.0;7.0;;;11787.0;17339.0;70.0
d3563056;{'Barbecue', 'Mediterranean', 'Grill', 'Steakhouse', 'European', 'Catalan', 'Gluten Free Options', 'Spanish'};$$ - $$$;2169.0;4338.0;2169.0;4.785714285714286;1.0;7.0;41.405674;2.148005;330.0;8785.0;239.0
d12222848;{'Barbecue', 'Mediterranean', 'Grill', 'Steakhouse', 'European', 'Catalan', 'Spanish'};;;;;;0.0;;;;;;
d8819250;{'Healthy', 'Vegetarian Friendly', 'Soups', 'Vegan Options'};$$ - $$$;434.0;1128.0;694.0;8.428571428571429;0.0;7.0;52.33729;4.87121;1971.0;3656.0;18.0
d1830500;{'Healthy', 'Soups'};;;;;;0.0;;;;;;
d1646964;{'Healthy', 'Soups'};;;;;;0.0;;;;;;
d6699557;{'Bakeries', 'Cafe', 'French'};$$ - $$$;;;;;0.0;;52.233334;20.987223;34.0;34.0;44.0
d12714036;{'Latin', 'Bar', 'Spanish', 'Pub'};;;;;;0.0;;41.4087;2.1952;7169.0;8785.0;4.0
d4769868;{'European', 'International'};$$ - $$$;152.0;1894.0;1742.0;9.571428571428571;0.0;7.0;48.14495;17.11695;380.0;1045.0;9.0
d8850606;{'Vegetarian Friendly', 'Bar', 'French', 'European'};$$ - $$$;;;;;0.0;;48.846703;2.285488;3111.0;15768.0;278.0
d4922567;{'Albanian', 'Fusion', 'Mediterranean', 'European'};$$ - $$$;4101.0;6151.0;2050.0;5.0;0.0;7.0;;;3092.0;17339.0;246.0
d10494228;{'Quick Bites', 'Vegan Options', 'Mexican', 'Vegetarian Friendly', 'Fast Food'};$;;;;12.857142857142858;0.0;7.0;;;1139.0;1769.0;65.0
d3847291;{'Mexican', 'Fast Food'};;;;;;0.0;;;;;;
d732093;{'Mexican', 'Fast Food'};;;;;;0.0;;;;;;
d8475892;{'Mexican', 'Fast Food'};;;;;;0.0;;50.8481;4.3486;1861.0;2364.0;5.0
d3182123;{'Pub', 'Cafe', 'Vegetarian Friendly', 'Bar', 'Spanish'};$;;;;14.571428571428571;1.0;7.0;;;251.0;10457.0;123.0
d12036041;{'Vegetarian Friendly', 'Deli', 'Mediterranean', 'Vegan Options', 'Gluten Free Options', 'European', 'International', 'Wine Bar', 'Spanish'};$$ - $$$;521.0;4338.0;3817.0;8.285714285714286;0.0;7.0;41.40631;2.217078;923.0;8785.0;130.0
d2454729;{'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options', 'European'};$$ - $$$;;;;8.714285714285714;0.0;7.0;52.36637;4.890368;438.0;3656.0;525.0
d1226740;{'Italian', 'Mediterranean', 'Southern-Italian', 'Sicilian', 'Vegan Options', 'Campania', 'European', 'Vegetarian Friendly', 'Pizza', 'Neapolitan'};$$ - $$$;1301.0;2169.0;868.0;7.142857142857143;1.0;7.0;41.385;2.185146;373.0;8785.0;854.0
d9457262;{'Italian', 'Mediterranean', 'Southern-Italian', 'Sicilian', 'Campania', 'European', 'Pizza', 'Neapolitan'};$$ - $$$;;;;9.0;0.0;7.0;59.915043;10.770239;545.0;1196.0;19.0
d6529872;{'Cafe'};$;174.0;521.0;347.0;11.571428571428571;0.0;7.0;45.46229;9.2234;3040.0;6806.0;30.0
d7653680;{'Czech', 'European'};;;;;11.0;0.0;7.0;50.10375;14.47476;4547.0;4683.0;3.0
d12262809;{'Contemporary', 'Czech', 'European', 'International'};$$ - $$$;;;;6.428571428571429;0.0;7.0;52.35627;4.889862;470.0;3656.0;961.0
d3672906;{'Balti', 'Halal', 'Indian', 'Asian', 'Vegetarian Friendly', 'Bangladeshi'};$$ - $$$;;;;5.142857142857143;0.0;7.0;;;1090.0;1769.0;71.0
d2344726;{'Japanese', 'Seafood', 'Soups', 'Vegan Options', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Fusion', 'Gluten Free Options'};$$ - $$$;;;;6.964285714285714;1.0;7.0;45.47912;9.10299;538.0;6806.0;456.0
d11651926;{'French', 'Czech', 'European'};$$ - $$$;107.0;1782.0;1675.0;10.142857142857142;0.0;7.0;50.077168;14.441242;2502.0;4683.0;5.0
d793376;{'French', 'Czech', 'European'};;;;;;0.0;;41.89507;12.51505;8926.0;10410.0;1.0
d6893184;{'Brew Pub', 'Wine Bar', 'Pub'};$$ - $$$;174.0;1735.0;1561.0;7.0;1.0;7.0;41.91413;12.50589;6610.0;10410.0;7.0
d10311013;{'Vegetarian Friendly', 'French', 'Gastropub', 'European'};$$ - $$$;;;;4.142857142857143;1.0;7.0;48.837326;2.289382;244.0;15768.0;204.0
d2142329;{'Bar', 'Wine Bar', 'Italian'};$$ - $$$;;;;15.857142857142858;0.0;7.0;45.473392;9.187874;6212.0;6806.0;668.0
d2230591;{'Mediterranean', 'Spanish'};$$ - $$$;;;;13.357142857142858;0.0;7.0;41.3898;2.173354;4873.0;8785.0;35.0
d8549177;{'Vegetarian Friendly', 'Mediterranean', 'Spanish', 'European'};$;;;;5.0;0.0;7.0;52.55696;13.385019;916.0;5679.0;51.0
d12328399;{'Vegetarian Friendly', 'Cafe', 'European'};$$ - $$$;694.0;1735.0;1041.0;9.285714285714286;0.0;7.0;52.359993;4.879777;1962.0;3656.0;86.0
d12981295;{'Healthy', 'Cafe', 'Deli', 'Wine Bar'};$;178.0;713.0;535.0;8.285714285714286;0.0;7.0;50.08985;14.42531;;;3.0
d7654407;{'Thai', 'Vegan Options', 'Asian', 'Vegetarian Friendly', 'Gluten Free Options'};$;;;;14.5;0.0;7.0;;;2096.0;17339.0;242.0
d10606787;{'Mediterranean'};$$ - $$$;954.0;2776.0;1822.0;;0.0;;41.382034;2.169904;5871.0;8785.0;4.0
d6988056;{'Portuguese', 'European'};$$ - $$$;;;;9.857142857142858;0.0;7.0;;;2795.0;4626.0;7.0
d8756078;{'Vegetarian Friendly', 'Deli', 'Mediterranean', 'Pub', 'Street Food', 'Vegan Options', 'Italian', 'Cafe', 'Bar'};$$ - $$$;434.0;1301.0;867.0;;0.0;;41.86784;12.49321;249.0;657.0;18.0
d9764576;{'Mediterranean', 'Seafood', 'Grill', 'Vegan Options', 'European', 'Vegetarian Friendly', 'Greek'};$$ - $$$;;;;12.75;0.0;7.0;37.97741;23.727777;308.0;2385.0;119.0
d6995768;{'Barbecue', 'South American', 'Steakhouse', 'Australian', 'Vegetarian Friendly', 'Argentinean'};$$ - $$$;;;;12.5;0.0;7.0;52.486694;13.527283;2552.0;5679.0;24.0
d6373401;{'Vegetarian Friendly', 'British', 'Bar', 'Pub'};$$ - $$$;;;;12.285714285714286;0.0;7.0;;;6135.0;17339.0;56.0
d8273642;{'British', 'Romana', 'Mediterranean', 'Seafood', 'Pub', 'Bar'};$$ - $$$;;;;7.214285714285714;1.0;7.0;41.894794;12.492859;651.0;10410.0;928.0
d5850306;{'British', 'Bar', 'Pub'};;;;;;0.0;;;;;;
d1007479;{'Mediterranean', 'Seafood', 'Portuguese', 'European', 'Vegetarian Friendly'};$$ - $$$;2516.0;3210.0;694.0;7.142857142857143;0.0;7.0;52.365734;4.885084;266.0;3656.0;318.0
d8120959;{'Portuguese', 'Mediterranean', 'Seafood', 'European'};;;;;;0.0;;52.34598;4.86485;3223.0;3656.0;2.0
d11793820;{'Portuguese', 'Mediterranean', 'Seafood', 'European'};$$ - $$$;;;;7.285714285714286;0.0;7.0;45.76876;4.829131;385.0;2613.0;72.0
d778285;{'Vegetarian Friendly', 'Ethiopian', 'Vegan Options'};$$ - $$$;2197.0;3333.0;1136.0;6.428571428571429;1.0;7.0;50.84548;4.348679;135.0;2364.0;1227.0
d12182212;{'Ethiopian'};;;;;;0.0;;;;8671.0;10457.0;1.0
d6871111;{'Vegetarian Friendly', 'American', 'Fast Food'};$;;;;10.571428571428571;0.0;7.0;53.5527;10.000649;649.0;2894.0;67.0
d7761701;{'American', 'Fast Food'};;;;;;0.0;;;;;;
d5550626;{'International'};;;;;;0.0;;;;14511.0;17339.0;1.0
d3612719;{'Portuguese', 'European'};;;;;;0.0;;;;1396.0;1869.0;15.0
d13224611;{'French', 'Fusion', 'Gastropub', 'Contemporary'};$$ - $$$;1475.0;3470.0;1995.0;4.071428571428571;1.0;7.0;48.834675;2.321639;2245.0;15768.0;70.0
d2560559;{'Vegetarian Friendly', 'Gluten Free Options', 'Scandinavian', 'European'};$$ - $$$;2897.0;12417.0;9520.0;2.2857142857142856;0.0;7.0;59.323135;18.071754;54.0;2787.0;1747.0
d10532509;{'Dessert', 'Scandinavian', 'European'};$$ - $$$;;;;;0.0;;48.872154;2.328289;268.0;398.0;28.0
d12621988;{'Healthy', 'French', 'Mediterranean', 'Fast Food'};$$ - $$$;607.0;1735.0;1128.0;2.5;0.0;7.0;48.869522;2.339116;10429.0;15768.0;10.0
d2104414;{'Vegetarian Friendly', 'Northern-Italian', 'Lombard', 'Italian'};$$ - $$$;1735.0;6073.0;4338.0;6.142857142857143;1.0;7.0;45.471752;9.186072;377.0;6806.0;317.0
d1800036;{'Vegetarian Friendly', 'Bar', 'French', 'European'};$$ - $$$;;;;19.5;0.0;7.0;48.855278;2.361309;12631.0;15768.0;37.0
d947615;{'Japanese', 'Sushi'};;;;;;0.0;;59.29233;17.96802;2418.0;2787.0;5.0
d1100838;{'Eastern European', 'European', 'Vegetarian Friendly', 'Central European', 'Polish'};$$ - $$$;152.0;2280.0;2128.0;12.0;0.0;7.0;52.24747;21.00943;498.0;2793.0;95.0
d1109020;{'Spanish', 'Seafood', 'European'};$$ - $$$;;;;4.714285714285714;0.0;7.0;45.444912;9.142883;5170.0;6806.0;317.0
d3638181;{'European', 'Czech', 'Central European', 'Eastern European'};$$ - $$$;;;;;0.0;;50.081;14.42773;2229.0;4683.0;21.0
d9805140;{'Vegan Options', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Italian', 'Pizza'};$$ - $$$;304.0;1121.0;817.0;11.0;0.0;7.0;50.06398;19.938005;75.0;1538.0;825.0
d5602680;{'Italian', 'Mediterranean', 'European', 'Pizza'};;;;;;0.0;;;;;;
d1496214;{'Italian', 'Mediterranean', 'European', 'Pizza'};$$ - $$$;;;;12.0;0.0;7.0;59.322906;18.072226;151.0;2787.0;1182.0
d12322788;{'Vegan Options', 'Mediterranean', 'Polish', 'European', 'Vegetarian Friendly', 'Italian', 'Pizza'};$$ - $$$;;;;10.714285714285714;0.0;7.0;50.04864;19.944948;50.0;1538.0;406.0
d4799400;{'European', 'French'};$$ - $$$;;;;;0.0;;48.85273;2.344613;8712.0;15768.0;101.0
d1034599;{'Vegan Options', 'Mediterranean', 'Vegetarian Friendly', 'Italian', 'Pizza'};$;455.0;1439.0;984.0;5.142857142857143;0.0;7.0;41.89698;12.512565;1661.0;10410.0;1013.0
d10233833;{'Spanish'};$$ - $$$;867.0;1995.0;1128.0;;0.0;;;;5809.0;10457.0;7.0
d7360792;{'Spanish'};$$ - $$$;;;;;0.0;;48.89043;2.3457;10886.0;15768.0;8.0
d10554549;{'Japanese', 'Vegetarian Friendly', 'Asian'};$$ - $$$;;;;;0.0;;48.85534;2.39036;6830.0;15768.0;50.0
d12213430;{'Japanese', 'Asian'};;;;;;0.0;;;;;;
d5809832;{'Japanese', 'Asian'};;;;;;0.0;;;;;;
d12290895;{'Mediterranean', 'Asian', 'Turkish', 'Japanese', 'Middle Eastern'};$$ - $$$;;;;11.285714285714286;0.0;7.0;;;326.0;17339.0;622.0
d5029563;{'Vegan Options', 'Bar', 'Vegetarian Friendly', 'Gluten Free Options', 'Italian', 'Brew Pub'};$;;;;12.857142857142858;0.0;7.0;41.83162;12.461838;750.0;10410.0;368.0
d6732384;{'Canadian'};$$ - $$$;;;;;0.0;;45.767994;4.831975;1990.0;2613.0;75.0
d1091302;{'Pub', 'Bar', 'European', 'Czech', 'Vegetarian Friendly'};$;18.0;71.0;53.0;13.214285714285714;0.0;7.0;50.077965;14.448457;1079.0;4683.0;53.0
d2028019;{'Northern-Italian', 'Vegetarian Friendly', 'Contemporary', 'Italian', 'Lombard'};$$ - $$$;1735.0;2169.0;434.0;2.857142857142857;1.0;7.0;45.471127;9.251253;452.0;6806.0;1404.0
d7291596;{'Italian', 'Northern-Italian', 'Lombard', 'Contemporary'};;;;;;0.0;;;;;;
d9996252;{'Bar', 'Spanish', 'Pub'};$;;;;;0.0;;41.41603;2.20196;6210.0;8785.0;7.0
d12400697;{'European', 'Dutch', 'American'};$$ - $$$;173.0;434.0;261.0;14.0;0.0;7.0;52.372746;4.891133;2603.0;3656.0;26.0
d1893400;{'European', 'Dutch', 'American'};;;;;;0.0;;;;;;
d10150630;{'European', 'Dutch', 'American'};;;;;;0.0;;;;;;
d4242216;{'Mediterranean', 'European', 'Vegetarian Friendly', 'Italian', 'Pizza'};$$ - $$$;781.0;1735.0;954.0;9.5;0.0;7.0;48.20291;16.363863;499.0;3841.0;134.0
d11641233;{'Italian', 'Mediterranean', 'European', 'Pizza'};;;;;;0.0;;;;;;
d7694103;{'European', 'Czech'};$$ - $$$;;;;10.857142857142858;0.0;7.0;50.06194;14.40963;2808.0;4683.0;16.0
d758333;{'European', 'Czech', 'Central European'};$$ - $$$;;;;12.0;0.0;7.0;50.073456;14.428048;1860.0;4683.0;594.0
d11979016;{'Vegetarian Friendly', 'Fast Food', 'Vegan Options', 'Soups'};$;434.0;867.0;433.0;5.0;0.0;7.0;50.840073;4.399978;1834.0;2364.0;10.0
d5503816;{'Fast Food', 'Soups'};$;;;;8.0;0.0;7.0;55.678528;12.572313;1940.0;1970.0;83.0
d5793239;{'Italian', 'Indian', 'Thai', 'Vegetarian Friendly'};$;;;;;0.0;;48.16459;11.46932;2140.0;2884.0;17.0
d13285917;{'Italian', 'Indian', 'Thai'};;;;;;0.0;;;;;;
d4910619;{'British'};;;;;;0.0;;;;10670.0;17339.0;6.0
d12703747;{'European', 'Polish'};$;95.0;228.0;133.0;;0.0;;50.072002;20.03643;1128.0;1538.0;5.0
d8339201;{'Italian', 'Seafood'};$$ - $$$;;;;;0.0;;41.922005;12.492388;6028.0;10410.0;52.0
d4465505;{'Italian', 'Seafood', 'Dessert'};$$ - $$$;;;;;0.0;;48.85249;2.35457;254.0;398.0;46.0
d12875825;{'International'};$;;;;;0.0;;41.37583;2.12029;8524.0;8785.0;10.0
d8655281;{'International'};;;;;12.142857142857142;0.0;7.0;52.20204;21.047653;1233.0;2793.0;11.0
d4215758;{'Contemporary'};$$ - $$$;;;;6.428571428571429;0.0;7.0;52.48955;13.31903;4841.0;5679.0;5.0
d4769809;{'Contemporary'};;;;;;0.0;;48.14431;17.11386;801.0;1045.0;3.0
d7192701;{'European', 'Vegetarian Friendly', 'French'};$$ - $$$;;;;4.285714285714286;1.0;7.0;48.868046;2.341783;3000.0;15768.0;49.0
d7060364;{'Central European', 'Swiss', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Healthy'};$$ - $$$;2273.0;11363.0;9090.0;5.0;1.0;7.0;47.43157;8.576603;3.0;37.0;162.0
d5852490;{'European', 'Healthy', 'Central European', 'Swiss'};;;;;8.428571428571429;1.0;7.0;48.15629;11.56168;2198.0;2884.0;3.0
d7927478;{'Bar', 'Cafe', 'Pub', 'Mediterranean'};$$ - $$$;867.0;2169.0;1302.0;30.0;1.0;7.0;37.980145;23.738234;1322.0;2385.0;50.0
d5616709;{'Pub', 'Mediterranean', 'Bar', 'Cafe', 'Spanish', 'Wine Bar', 'Healthy'};$$ - $$$;;;;12.642857142857142;0.0;7.0;;;4623.0;10457.0;22.0
d5017904;{'Xinjiang', 'Asian', 'Chinese', 'NorthWestern Chinese'};$$ - $$$;;;;5.0;0.0;7.0;48.875286;2.34548;6148.0;15768.0;68.0
d7134588;{'Vegan Options', 'Fusion', 'Asian', 'Vegetarian Friendly', 'Gluten Free Options'};$$ - $$$;241.0;1877.0;1636.0;11.214285714285714;0.0;7.0;59.910503;10.728509;94.0;1196.0;805.0
d718201;{'Vegetarian Friendly', 'Asian', 'Fusion', 'German'};$$ - $$$;694.0;2689.0;1995.0;11.0;0.0;7.0;52.503075;13.317627;100.0;5679.0;2777.0
d6622729;{'European', 'Portuguese'};$;;;;10.571428571428571;0.0;7.0;;;2538.0;4626.0;12.0
d10860208;{'Vietnamese', 'Asian'};$;;;;8.571428571428571;0.0;7.0;50.099358;14.445907;1824.0;4683.0;25.0
d5220221;{'Quick Bites', 'Deli'};$;;;;;0.0;;;;1123.0;1969.0;14.0
d3437605;{'European', 'Polish'};;;;;;0.0;;50.05118;19.94301;1403.0;1538.0;3.0
d2468909;{'European', 'French'};$$ - $$$;1041.0;1648.0;607.0;6.285714285714286;1.0;7.0;48.85326;2.339017;5598.0;15768.0;627.0
d7123516;{'Japanese', 'Asian', 'Chinese'};$;;;;11.0;0.0;7.0;50.076183;14.424408;1990.0;4683.0;18.0
d1758274;{'Mexican', 'Fusion', 'Vegetarian Friendly', 'American', 'Healthy', 'Street Food'};$$ - $$$;615.0;1128.0;513.0;9.285714285714286;0.0;7.0;;;;;232.0
d7075619;{'Italian', 'Pizza'};$;;;;8.571428571428571;1.0;7.0;48.83237;2.30306;5925.0;15768.0;33.0
d2014401;{'European', 'British', 'International'};$$ - $$$;2050.0;3588.0;1538.0;;0.0;;;;11273.0;17339.0;31.0
d7905903;{'European', 'British', 'International'};;;;;;0.0;;;;;;
d10441268;{'Vegan Options', 'Basque', 'Mediterranean', 'Spanish', 'Vegetarian Friendly', 'Gluten Free Options'};$$ - $$$;;;;9.142857142857142;1.0;7.0;;;1459.0;10457.0;285.0
d1039219;{'Vegetarian Friendly', 'German'};$$ - $$$;;;;13.285714285714286;0.0;7.0;53.62645;10.02992;1702.0;2894.0;38.0
d5984601;{'Italian', 'Seafood', 'Mediterranean', 'Fast Food'};$$ - $$$;520.0;2602.0;2082.0;10.714285714285714;0.0;7.0;41.86798;12.493088;1304.0;10410.0;373.0
d813193;{'Vegan Options', 'Asian', 'Vegetarian Friendly', 'Gluten Free Options', 'Thai'};$$ - $$$;1301.0;2602.0;1301.0;22.0;1.0;7.0;55.684425;12.559829;328.0;1970.0;159.0
d801320;{'Barbecue', 'Vegan Options', 'Turkish', 'Vegetarian Friendly', 'Middle Eastern'};$;530.0;1136.0;606.0;9.714285714285714;0.0;7.0;53.55639;9.962863;744.0;2894.0;78.0
d797044;{'Barbecue', 'Turkish', 'Middle Eastern'};;;;;;0.0;;;;;;
d2463262;{'European', 'Portuguese'};$$ - $$$;;;;9.857142857142858;0.0;7.0;;;1258.0;1869.0;286.0
d3494183;{'European', 'Vegetarian Friendly', 'Austrian', 'Central European'};$$ - $$$;;;;13.5;0.0;7.0;48.20172;16.45441;2279.0;3841.0;27.0
d5608036;{'European', 'Austrian', 'Central European'};;;;;;0.0;;53.45963;9.98218;2470.0;2894.0;5.0
d5977345;{'European'};$$ - $$$;;;;3.4285714285714284;0.0;7.0;;;4551.0;4626.0;11.0
d2041740;{'Mediterranean', 'European', 'Vegetarian Friendly', 'Italian', 'Pizza'};$$ - $$$;;;;12.0;0.0;7.0;48.132706;11.576206;1998.0;2884.0;149.0
d2153299;{'Vegan Options', 'Mediterranean', 'International', 'Greek', 'Vegetarian Friendly', 'Gluten Free Options'};$$ - $$$;867.0;1735.0;868.0;14.25;0.0;7.0;37.9759;23.72388;117.0;2385.0;562.0
d11945896;{'Japanese', 'Asian', 'Sushi'};$$ - $$$;;;;;0.0;;50.879032;4.372379;1195.0;2364.0;58.0
d8595843;{'Japanese', 'Asian', 'Sushi'};$;173.0;520.0;347.0;12.0;0.0;7.0;;;6633.0;10457.0;40.0
d4183385;{'Italian'};$$ - $$$;;;;13.0;0.0;7.0;52.48176;13.34832;;;10.0
d2700265;{'European', 'Italian', 'International', 'Mediterranean'};$$ - $$$;;;;11.142857142857142;0.0;7.0;41.385105;2.171274;868.0;8785.0;1056.0
d12186822;{'Italian'};;;;;;0.0;;;;;;
d8433411;{'Fast Food', 'Quick Bites', 'Mexican'};$;;;;;0.0;;50.02761;14.49255;101.0;125.0;26.0
d3682397;{'Beer restaurants', 'Vegetarian Friendly', 'Gastropub', 'Diner'};$$ - $$$;867.0;1822.0;955.0;12.285714285714286;0.0;7.0;52.36215;4.867617;1260.0;3656.0;48.0
d13078322;{'Mediterranean', 'Ethiopian', 'Grill', 'African', 'Halal', 'Middle Eastern'};$$ - $$$;;;;15.428571428571429;0.0;7.0;;;7774.0;17339.0;12.0
d11952970;{'German'};$$ - $$$;;;;;0.0;;52.50437;13.330053;551.0;650.0;17.0
d2435582;{'German'};$$ - $$$;;;;6.857142857142857;0.0;7.0;52.57612;13.34876;4057.0;5679.0;5.0
d9813895;{'German'};;;;;;0.0;;;;;;
d2507587;{'German'};;;;;;0.0;;;;;;
d5505709;{'Vegetarian Friendly', 'Chinese'};$;;;;11.0;0.0;7.0;52.4189;13.3135;2465.0;5679.0;25.0
d6511413;{'Chinese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Japanese'};$$ - $$$;;;;10.785714285714286;0.0;7.0;52.4774;13.281992;3832.0;5679.0;21.0
d1319360;{'Middle Eastern'};;;;;7.428571428571429;1.0;7.0;47.37237;8.51044;1513.0;1683.0;12.0
d12428409;{'Irish', 'Pub', 'Bar'};$$ - $$$;347.0;1735.0;1388.0;15.928571428571429;0.0;7.0;;;597.0;2117.0;116.0
d3701904;{'Irish', 'Pub', 'Bar'};;;;;;0.0;;;;;;
d3192437;{'Mediterranean', 'European', 'Spanish', 'Seafood', 'Gluten Free Options'};$$ - $$$;;;;6.5;1.0;7.0;;;2481.0;10457.0;272.0
d775212;{'Vegetarian Friendly', 'French'};$$ - $$$;867.0;2602.0;1735.0;19.0;0.0;7.0;48.848522;2.398439;3994.0;15768.0;1276.0
d6619098;{'European', 'Portuguese'};$$ - $$$;;;;;0.0;;;;1565.0;1869.0;10.0
d7624324;{'Vegan Options', 'Balti', 'Asian', 'Vegetarian Friendly', 'Eastern European', 'Indian'};$$ - $$$;;;;5.5;0.0;7.0;51.57927;0.02625;5805.0;17339.0;56.0
